oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1694110100000370,98042289,2458734.926351747,58734.422893499999,20.0999603,0.105510511,0,zg,22.416935599999999,38.702916600000002,1.06700003,-0.166999996,20190908422789,1694,0xa,0x1,21.1900005,26.1805725,0.0298076961,-0.0509428717,7.40438054e-06,30,1.00199997,2
1694110100000370,98042334,2458734.9268031749,58734.423344900002,19.9304886,0.0937406272,0,zg,22.4169579,38.702941000000003,0.777999997,0.123999998,20190908423345,1694,0xa,0x1,21.1800003,26.1770992,0.0315154046,-0.0512975045,8.04058345e-06,30,1.00199997,3
1694110100000370,98339290,2458737.8965581232,58737.392905100001,19.7756004,0.0839027315,0,zg,22.416947199999999,38.702994799999999,0.368999988,0.0549999997,20190911392870,1694,0xa,0x1,20.5400009,26.1852493,0.0315235816,-0.0471162833,1.000477e-05,30,1.00600004,2
1694110100000370,98339335,2458737.8970095539,58737.393356499997,19.9270611,0.0935132504,0,zg,22.416909499999999,38.702998100000002,0.469999999,-0.057,20190911393345,1694,0xa,0x1,20.7099991,26.1967087,0.03100661,-0.0606969967,9.25356744e-06,30,1.00600004,3
1694110100000370,99241800,2458746.9221977796,58746.418009300003,19.9898472,0.0977467895,0,zg,22.4168436,38.702821800000002,0.405999988,0.0790000036,20190920417986,1694,0xa,0x1,20.6399994,26.1716194,0.0318210348,-0.0384482816,1.0142302e-05,30,1.01600003,2
1694110100000370,99241846,2458746.9226491004,58746.418460599998,19.8921852,0.0912242159,0,zg,22.416823699999998,38.702894700000002,0.839999974,-0.115999997,20190920418461,1694,0xa,0x1,20.75,26.1639462,0.0313893072,-0.0288467407,9.4062143e-06,30,1.01699996,3
1694110100000370,99534946,2458749.8538101795,58749.349467599997,19.9433613,0.0945984572,0,zg,22.416933700000001,38.702955299999999,0.850000024,-0.112000003,20190923349421,1694,0xa,0x1,21.6299992,26.1479187,0.0262803957,-0.0727795884,5.55986298e-06,30,1.01199996,2
1694110100000370,99534991,2458749.8542616023,58749.349919,19.9323845,0.0938665569,0,zg,22.416957100000001,38.7029456,1.26600003,0.167999998,20190923349919,1694,0xa,0x1,21.5300007,26.1289425,0.0258503649,-0.0534895062,5.38515769e-06,30,1.01199996,3
1694110100000370,99638277,2458750.8871722366,58750.382777799998,19.8693771,0.0897517055,0,zg,22.416886000000002,38.702958099999996,0.667999983,-0.0299999993,20190924382743,1694,0xa,0x1,21.4899998,26.1079788,0.0271438137,-0.0857984647,5.8489627e-06,30,1.00300002,2
1694110100000370,99638322,2458750.8876236589,58750.383229200001,19.9188194,0.0929682106,0,zg,22.416909499999999,38.702943400000002,1.09200001,-0.0820000023,20190924383229,1694,0xa,0x1,21.4599991,26.1044197,0.0276375525,-0.0796607435,6.11236328e-06,30,1.00300002,3
1694110100000370,99742072,2458751.9251743834,58751.420729199999,19.9889297,0.0976839438,0,zg,22.4169555,38.702997699999997,0.757000029,0.0879999995,20190925420706,1694,0xa,0x1,21.2000008,26.0732441,0.0307479855,-0.043197833,7.74174441e-06,30,1.03499997,2
