,oid,expid,hjd,bjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
37,1694110100000370,98339290,2458737.896558123,58737.396395492695,19.7756004,0.0839027315,0,zg,22.4169472,38.7029948,0.368999988,0.0549999997,20190911392870,1694,0xa,0x1,20.5400009,26.1852493,0.0315235816,-0.0471162833,1.000477e-05,30,1.00600004,2
38,1694110100000370,98339335,2458737.8970095534,58737.39684692168,19.9270611,0.0935132504,0,zg,22.4169095,38.7029981,0.469999999,-0.057,20190911393345,1694,0xa,0x1,20.7099991,26.1967087,0.03100661,-0.0606969967,9.25356744e-06,30,1.00600004,3
39,1694110100000370,99241800,2458746.92219778,58746.42203480064,19.9898472,0.0977467895,0,zg,22.4168436,38.7028218,0.405999988,0.0790000036,20190920417986,1694,0xa,0x1,20.6399994,26.1716194,0.0318210348,-0.0384482816,1.0142302e-05,30,1.01600003,2
40,1694110100000370,99241846,2458746.9226491004,58746.422486125055,19.8921852,0.0912242159,0,zg,22.4168237,38.7028947,0.839999974,-0.115999997,20190920418461,1694,0xa,0x1,20.75,26.1639462,0.0313893072,-0.0288467407,9.4062143e-06,30,1.01699996,3
41,1694110100000370,99534946,2458749.8538101795,58749.35364710189,19.9433613,0.0945984572,0,zg,22.4169337,38.7029553,0.850000024,-0.112000003,20190923349421,1694,0xa,0x1,21.6299992,26.1479187,0.0262803957,-0.0727795884,5.55986298e-06,30,1.01199996,2
42,1694110100000370,99534991,2458749.8542616023,58749.3540985249,19.9323845,0.0938665569,0,zg,22.4169571,38.7029456,1.26600003,0.167999998,20190923349919,1694,0xa,0x1,21.5300007,26.1289425,0.0258503649,-0.0534895062,5.38515769e-06,30,1.01199996,3
43,1694110100000370,99638277,2458750.8871722366,58750.387009119004,19.8693771,0.0897517055,0,zg,22.416886,38.7029581,0.667999983,-0.0299999993,20190924382743,1694,0xa,0x1,21.4899998,26.1079788,0.0271438137,-0.0857984647,5.8489627e-06,30,1.00300002,2
44,1694110100000370,99638322,2458750.887623659,58750.387460541344,19.9188194,0.0929682106,0,zg,22.4169095,38.7029434,1.09200001,-0.0820000023,20190924383229,1694,0xa,0x1,21.4599991,26.1044197,0.0276375525,-0.0796607435,6.11236328e-06,30,1.00300002,3
45,1694110100000370,99742072,2458751.9251743834,58751.425011231266,19.9889297,0.0976839438,0,zg,22.4169555,38.7029977,0.757000029,0.0879999995,20190925420706,1694,0xa,0x1,21.2000008,26.0732441,0.0307479855,-0.043197833,7.74174441e-06,30,1.03499997,2
46,1694110100000370,99742118,2458751.9256258067,58751.42546265291,20.14925,0.109118246,0,zg,22.4168785,38.7030047,0.691999972,0.0419999994,20190925421181,1694,0xa,0x1,21.3999996,26.076561,0.030873185,-0.0621421263,7.65289406e-06,30,1.03499997,3
47,1694110100000370,100342771,2458757.9324317174,58757.43226833361,20.0032673,0.0986703336,0,zg,22.4168,38.7029437,0.546000004,0.0489999987,20191001427708,1694,0xa,0x1,21.3899994,26.1807632,0.0290769115,-0.0807016343,6.73066916e-06,30,1.07500005,2
48,1694110100000370,100342817,2458757.9328831327,58757.432719751654,20.0560074,0.102361061,0,zg,22.4169255,38.7029429,0.648999989,0.0289999992,20191001428171,1694,0xa,0x1,21.4099998,26.1815052,0.0294632092,-0.0833827034,6.92320145e-06,30,1.07599998,3
